Claim,Evidence,label
We should introduce compulsory voting,"Supporters of compulsory voting also argue that voting addresses the paradox of voting, which is that for a rational, self-interested voter, the costs of voting will normally exceed the expected benefits.",1
We should abandon the insanity plea,"Deb wants to call it in, suggesting a temporary insanity plea or a good lawyer.",0
We should ban extreme sports,"In Saving The World And Other Extreme Sports, Max goes to Dr. Martinez to have the microchip removed, where she is put under the influence of Valium for the first time and admits her feelings for Fang.",0
We should protect endangered species,Temple (1986) found that 82% of endangered bird species were significantly threatened by habitat loss.,1
We should disband ASEAN,"In January 2009, the Prime Minister of Thailand said that his country would support East Timor's membership of ASEAN by 2012 [REF].",0
Physical education should be mandatory,"Subjects are grouped into eight basic subject areas, namely Thai language; mathematics; science; social studies, religion and culture; health and physical education; arts; vocations and technology; and foreign languages [REF].",0
Single-sex schools should be banned,"There is some support for the premise that single-sex schooling can be helpful, especially for certain outcomes related to academic achievement and more positive academic aspirations.",1
We should subsidize public service broadcasters,"If there is a resurgence in public service broadcasting, hopefully it will be universal"" (qtd. in Variety, 19-25 May 2003, p. 26) Supporting Democracy: ""We believe that informed citizenship benefits from the expression of the fullest range of responsible opinion on important issues, rather than artificially limiting the spectrum of debate to favour one particular perspective -- however apparently right and justified it may be.",0
Community service should be mandatory,"As part of a plea agreement in that case, Vick was placed in a drug offender program that required him to perform 24 hours of community service, undergo drug counseling and random drug tests, and give up his Virginia driver's license for six months [REF].",0
We should subsidize renewable energy,"Subsidies to renewables and low-carbon energy technologies can bring long-term economic and environmental benefits"" [REF].",1
We should adopt vegetarianism,"Thus, some opponents of ethical vegetarianism argue that the analogy between killing animals and killing people is misleading ",0
Bullfighting should be banned,"The celebrations include the strongman games, free music performances, street entertainment, bullfighting and nightly firework displays.",0
We should protect Antarctica,"There is evidence from one study that Antarctica is warming as a result of human carbon dioxide emissions,[REF] ",0
Private universities should be banned,"(Private) Founded in 1970 by the Franciscan Order, it's a private institution of higher education that serves like sectional for University of St. Buenaventura of Bogotá",0
We should abolish the double jeopardy defense,"Therefore, an indictment must allege all the ingredients of the crime to such a degree of precision that it would allow the accused to assert double jeopardy if the same charges are brought up in subsequent prosecution [REF].",0
Organ donation should be mandatory,"Potts et al. on behalf of the IOM reply that informed consent does not require this level of disclosure: ""Reviewing with interested family members that all brain activity may not have ceased at the exact moment that death is pronounced may be appropriate in some circumstances, but, for many families confronted with such overwhelming emotional matters, knowledge that death has been pronounced is what is paramount. The sensitivity and skill of the physicians and nurses to the individual needs of families is the key factor whether or not organ donation is involved.""",0
We should disband the United Nations,"In addition, officials from about 50 governments and from various international organizations took part, including the United Nations, African Union, European Union, World Bank, the Intergovernmental Authority on Development, the Organisation of Islamic Conference and the League of Arab States [REF].",0
